brand,model name
Mercedes-Benz,SL-Class
Dodge,Daytona
Honda,Passport
Mercedes-Benz,400SEL
Lexus,LX
Cadillac,STS
GMC,Yukon XL 1500
Chevrolet,Astro
Dodge,Durango
Mazda,Mazda2
Toyota,Tundra
Land Rover,Range Rover Sport
Honda,Accord
Ford,E-Series
Pontiac,Grand Prix
GMC,Suburban 1500
Lexus,ES
Lotus,Esprit
BMW,Z3
GMC,Envoy XUV
Audi,4000s Quattro
Ford,F-Series Super Duty
Acura,CL
Chevrolet,Express 1500
Pontiac,Fiero
Chevrolet,Express 2500
Infiniti,QX
Mercedes-Benz,SLK-Class
Mercedes-Benz,C-Class
Mercury,Milan
Mitsubishi,Mirage
Buick,Electra
